Sigla,Código,Estado,Desocupados - homens (2012 T1),Desocupados - mulheres (2012 T1)
AC,12,Acre,"45,3","54,7"
AL,27,Alagoas,"44,7","55,3"
AM,13,Amazonas,"47,5","52,5"
AP,16,Amapá,"48,1","51,9"
BA,29,Bahia,"43,8","56,2"
CE,23,Ceará,"51,1","48,9"
DF,53,Distrito Federal,41,59
ES,32,Espírito Santo,"46,4","53,6"
GO,52,Goiás,41,59
MA,21,Maranhão,"47,2","52,8"
MG,31,Minas Gerais,"43,1","56,9"
MS,50,Mato Grosso do Sul,"47,2","52,8"
MT,51,Mato Grosso,"44,1","55,9"
PA,15,Pará,"43,2","56,8"
PB,25,Paraíba,"44,4","55,6"
PE,26,Pernambuco,"43,9","56,1"
PI,22,Piauí,"51,2","48,8"
PR,41,Paraná,"40,3","59,7"
RJ,33,Rio de Janeiro,"44,2","55,8"
RN,24,Rio Grande do Norte,51,49
RO,11,Rondônia,"43,4","56,6"
RR,14,Roraima,"41,8","58,2"
RS,43,Rio Grande do Sul,"42,8","57,2"
SC,42,Santa Catarina,"42,7","57,3"
SE,28,Sergipe,"46,5","53,5"
SP,35,São Paulo,"45,4","54,6"
TO,17,Tocantins,"55,3","44,7"
